Date,Project,Daily Tow #,Site,Project Site Name,Station,Habitat,Lat_Start,Long_Start,TOD,Duration_min_sec,Speed_km_hr,Distance_m,Distance_km_speed_duration_calc,Depth_m,Temp_C,Sal_ppt,notes,num_men_spp,num_ops_tau,num_hyp_hen,num_car_bar,num_chl_chr,num_opi_ogl,num_chi_sch,num_anc_spp,num_gerreidae,num_ort_chr,num_hal_biv,num_tau_oni,num_lut_chr,num_lut_gri,num_lut_syn,num_lut_ana,num_mon_his,num_monacanthidae,num_cit_spi,num_par_alb,num_pom_sal,num_bai_chr,num_cyn_neb,num_lei_xan,num_sci_oce,num_cen_str,num_myc_mic,num_ser_sub,num_arc_pro,num_dip_hol,num_lag_rho,num_ste_cap,num_sph_spp,wt_sph_spp,num_syg_spp,wt_syg_spp,num_syo_foe,num_sph_mac,num_das_ame,num_teuthida,num_lip_spp,num_panopeidae,num_ach_spi,num_cal_sap,num_por_spp,num_toz_car,num_pal_spp,num_pen_azt,num_pen_spp,num_shrimp,num_aplysiidae,
20190522,Annual Trawling,1,"Back sound, NC",C7,7,creek,34º38.214,76º31.843,13:08,2,4,139,0.1333,1,25.8,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20190522,Annual Trawling,2,"Back sound, NC",C7,7,creek,34º38.126,76º31.820,13:14,2,4.3,144,0.1433,1,25.9,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20190522,Annual Trawling,9,"Back sound, NC",MF2,2,mudflat,34º42.470,76º35.826,14:48,2,3.7,126,0.1233,0.5,25.4,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20190522,Annual Trawling,10,"Back sound, NC",MF2,2,mudflat,34º42.470,76º35.794,14:56,1.75,4,129,0.1167,0.5,25.4,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20190522,Annual Trawling,7,"Back sound, NC",SG10,10,seagrass,34º40.040,76º33.756,14:18,2,3.4,115,0.1133,0.5,25.4,36,may not have fished effectively because of crab pot fouling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20190522,Annual Trawling,8,"Back sound, NC",SG10,10,seagrass,34º40.063,76º33.764,14:28,2,3.5,118,0.1167,0.5,25.4,36,,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20190522,Annual Trawling,5,"Back sound, NC",SG12,12,seagrass,34º39.437,76º33.160,13:53,2,3.2,108,0.1067,0.4,24.6,36,,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,182,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
20190522,Annual Trawling,6,"Back sound, NC",SG12,12,seagrass,34º39.475,76º33.226,14:01,2,3.5,118,0.1167,0.4,24.9,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,90,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20190625,Annual Trawling,9,"Back sound, NC",C2,2,creek,34º41.617,76º36.906,15:25,2,4.3,147,0.1433,1,29.6,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20190625,Annual Trawling,10,"Back sound, NC",C2,2,creek,34º41.591,76º36.759,15:30,2,4.3,150,0.1433,2,29.6,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
