"","halodule","zostera","ruppia","algae","oyster","saltmarsh","other","richness","shannonD","richness_comb","comm_shannonD_sum","herbivore","omnivore","soniferous_S","num_bai_chr","num_ort_chr","num_ops_tau","seagrass_area","seagrass_perim.area.ratio","saltmarsh_perim.area.ratio","habitat_total","NNratio","dist2adjPatch","richness_landscape","avg_temp","avg_spl_low","avg_spl_high","BI_low","BI_high"
"1",0,0,0,0.606060606060606,9.24242424242424,9.09090909090909,0,2,0.69311302949841,2,0.693147180559945,0,0,1,1.41342756183746,0,0,0,0,0.881763788,76310,1.955688,171.01,2,22.21851852,101.8691743,88.3485554,15752.95555,27302.44908
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,3.128630705,0.168470111,56528,0.401961,202.3,3,21.99135802,115.9397776,92.7116074,6619.226441,16914.27919
"3",24.9090909090909,0.333333333333333,0,0.151515151515152,0,0,0,2,0.0702587889411981,1,0.517487124866231,0,0.468201326570425,3,0,3.43347639484979,0,31332,0.643240138,0,31332,0.381841,400.96,1,23.36296296,95.57126209,86.18342959,13047.52955,32122.95208
"4",36.1515151515151,2.24242424242424,0,1.27272727272727,0,0,0.0303030303030303,2,0.222557978695312,1,0.352749233927811,0,0.080450522928399,2,2.65486725663717,6.19469026548673,0,47725,0.865416448,0.576894776,50182,0.530039,178.92,3,22.91358025,100.4876149,87.91235593,7048.175701,11231.33326
"5",0,0,0,1.6969696969697,49.3939393939394,4.6969696969697,0,2,0.295152729497885,2,0.639031859650177,0,0,1,0,0,0,49814,1.779499739,0.284102635,349314,0.635291,186.87,3,24.84705882,111.7070478,107.6968375,36308.03561,31804.62266
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9408,1.15922619,0.404739632,17391,0.565349,238.8,3,24.50588235,109.6657496,90.37893563,23354.025,45332.50672
"7",50.6060606060606,5.54545454545455,0,4.39393939393939,0.303030303030303,0,0,3,0.354028937463662,2,0.48484376607719,0,0.0683526999316473,4,5.26315789473684,33.0827067669173,0,30904,0.574488739,0.19791091,127385,0.496374,77.49,2,26.2,95.76049595,101.6476056,8568.998427,59641.04842
"8",25.8181818181818,9.24242424242424,0,0.636363636363636,0,0,0,2,0.57680196511603,1,0.578533636582012,0.554016620498615,0.201460589272224,5,0,54.8476454293629,1.10803324099723,27287,1.099937699,0,29340,0.880966,220.88,2,25.20461538,105.789676,99.36927823,6999.121731,68495.70199
"9",1.51515151515152,0,0,0,0,11.6666666666667,0.454545454545455,2,0.356725723106605,2,1.47584152086509,0,1.06951871657754,2,0,0,0,19660,1.633672431,0.106113347,329315,0.427931,296.07,3,26.26111111,94.38571798,82.9477465,6710.078588,10561.75271
"10",0,0,0,0,0,0,0,0,0,0,0,0,0.482093663911846,0,0,0,0,0,0,0,0,0,2000,0,23.71088235,105.9340921,85.66362494,10176.65997,38497.1011
"11",38.8484848484849,7.03030303030303,19.3939393939394,1.51515151515152,0,0,0,3,0.909436011688891,1,1.02882120546783,0,0.142602495543672,6,24.3137254901961,129.411764705882,0,99230,0.885054923,0.042963979,159001,0.614467,259.3,2,25.69379085,91.67867866,98.34259691,9732.571958,52321.04761
